iter	Passed	Remaining
0	138	61150
1	287	63158
2	473	69102
3	598	65345
4	771	67263
5	971	70434
6	1140	70727
7	1337	72382
8	1524	73195
9	1673	72138
10	1844	72108
11	2016	72093
12	2216	72959
13	2402	73284
14	2599	73835
15	2749	73038
16	2946	73489
17	3114	73197
18	3298	73268
19	3520	74100
20	3720	74405
21	3920	74667
22	4100	74526
23	4316	75005
24	4503	74934
25	4670	74551
26	4850	74381
27	5040	74347
28	5245	74523
29	5432	74421
30	5607	74167
31	5807	74221
32	5987	74023
33	6135	73446
34	6319	73311
35	6483	72942
36	6672	72851
37	6839	72534
38	6995	72107
39	7136	71545
40	7314	71365
41	7503	71280
42	7671	71004
43	7841	70748
44	7993	70338
45	8169	70151
46	8387	70312
47	8567	70146
48	8748	69990
49	8926	69803
50	9099	69586
51	9281	69429
52	9483	69428
53	9670	69305
54	9834	69021
55	9977	68597
56	10125	68216
57	10289	67943
58	10458	67713
59	10658	67678
60	10948	68202
61	11153	68178
62	11301	67806
63	11473	67588
64	11641	67339
65	11794	67015
66	11981	66880
67	12133	66554
68	12298	66302
69	12496	66230
70	12641	65877
71	12814	65674
72	12967	65372
73	13131	65126
74	13301	64909
75	13457	64631
76	13636	64461
77	13778	64123
78	13953	63938
79	14103	63643
80	14310	63602
81	14450	63263
82	14650	63192
83	14778	62807
84	14950	62617
85	15094	62310
86	15233	61985
87	15420	61857
88	15567	61570
89	15732	61357
90	15903	61167
91	16018	60767
92	16195	60601
93	16357	60383
94	16523	60179
95	16700	60018
96	16889	59898
97	17047	59665
98	17185	59369
99	17320	59062
100	17496	58899
101	17661	58699
102	17844	58558
103	17979	58260
104	18134	58031
105	18295	57820
106	18457	57613
107	18589	57316
108	18740	57079
109	18910	56903
110	19056	56653
111	19195	56385
112	19371	56227
113	19520	55993
114	19715	55889
115	19922	55816
116	20064	55561
117	20194	55278
118	20363	55102
119	20512	54869
120	20679	54689
121	20834	54478
122	20967	54207
123	21099	53939
124	21264	53757
125	21410	53527
126	21580	53357
127	21735	53149
128	21923	53023
129	22105	52883
130	22250	52653
131	22395	52425
132	22563	52252
133	22713	52038
134	22890	51886
135	23031	51651
136	23224	51534
137	23369	51311
138	23532	51127
139	23736	51033
140	23887	50824
141	24032	50603
142	24199	50430
143	24366	50256
144	24534	50084
145	24711	49930
146	24850	49701
147	25021	49536
148	25145	49278
149	25281	49046
150	25447	48871
151	25621	48713
152	25778	48524
153	25941	48346
154	26087	48135
155	26256	47968
156	26425	47801
157	26563	47579
158	26728	47405
159	26885	47217
160	27040	47026
161	27183	46816
162	27349	46645
163	27509	46464
164	27651	46253
165	27809	46070
166	27984	45914
167	28104	45670
168	28295	45541
169	28463	45374
170	28644	45227
171	28834	45095
172	28994	44916
173	29155	44739
174	29300	44537
175	29483	44393
176	29623	44184
177	29777	43997
178	29963	43856
179	30090	43631
180	30291	43512
181	30465	43354
182	30602	43144
183	30747	42946
184	30889	42744
185	31029	42540
186	31183	42356
187	31364	42208
188	31552	42070
189	31755	41951
190	31916	41774
191	32075	41597
192	32284	41484
193	32464	41333
194	32625	41158
195	32790	40988
196	32947	40808
197	33086	40605
198	33279	40470
199	33438	40293
200	33659	40190
201	33840	40038
202	34039	39908
203	34242	39781
204	34415	39620
205	34560	39425
206	34785	39322
207	35006	39214
208	35199	39073
209	35345	38880
210	35528	38727
211	35708	38571
212	35891	38419
213	36045	38235
